date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:44	251155/251155	---M--	200	added ('OK')	image/jpeg	etag:%223d513-6042868637780%22	https://school2024.abinit.org/images/images/plan_teratec.jpg	school2024.abinit.org/images/images/plan_teratec.jpg	(from https://school2024.abinit.org/resources/location)
12:23:45	86589/86589	---M--	200	added ('OK')	image/jpeg	etag:%221523d-604386be17fa0%22	https://school2024.abinit.org/images/logos/belambra-chambre.jpg	school2024.abinit.org/images/logos/belambra-chambre.jpg	(from https://school2024.abinit.org/resources/location)
12:23:47	154060/154060	---M--	200	added ('OK')	image/png	etag:%22259cc-608ef71558560%22	https://school2024.abinit.org/images/images/nomad-coe.png	school2024.abinit.org/images/images/nomad-coe.png	(from https://school2024.abinit.org/register/school-registration)
12:23:47	1213127/1213127	---M--	200	added ('OK')	image/png	etag:%221282c7-604388f0f2cc0%22	https://school2024.abinit.org/images/logos/centre-ville-dourdan-essonne_2.png	school2024.abinit.org/images/logos/centre-ville-dourdan-essonne_2.png	(from https://school2024.abinit.org/resources/location)
12:23:47	1556/1556	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202024%2011:20:15%20GMT	https://school2024.abinit.org/register/payment	school2024.abinit.org/register/payment.46.delayed	(from https://school2024.abinit.org/register/school-registration)
12:23:48	76046/76046	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:20:16%20GMT	https://school2024.abinit.org/index.php?option=com_breezingforms&Itemid=218&ff_form=13&ff_applic=mod_facileforms&ff_module_id=156&format=html&tmpl=component&ff_frame=1	school2024.abinit.org/index7a2a.html	(from https://school2024.abinit.org/register/school-registration)
12:23:49	536/536	---M-Z	200	added ('OK')	text/css	etag:%22218-5ffcb5a101280-gzip%22	https://school2024.abinit.org/media/plg_system_webauthn/css/button.min.css?ca1441d9e5ea55f4676d32de4da65336	school2024.abinit.org/media/plg_system_webauthn/css/button.min0473.css	(from https://school2024.abinit.org/login)
12:23:50	430/430	---M-Z	200	added ('OK')	application/javascript	etag:%221ae-5ffcb5aa8a900-gzip%22	https://school2024.abinit.org/media/system/js/keepalive-es5.min.js?3deca9a3649c1885dab0a8bc5741f5d824e64aeb	school2024.abinit.org/media/system/js/keepalive-es5.minc5f2.js	(from https://school2024.abinit.org/login)
12:23:51	2914/2914	---M-Z	200	added ('OK')	application/javascript	etag:%22b62-5ffcb5a4d1b80-gzip%22	https://school2024.abinit.org/media/plg_system_webauthn/js/login.min.js?ca1441d9e5ea55f4676d32de4da65336	school2024.abinit.org/media/plg_system_webauthn/js/login.min0473.js	(from https://school2024.abinit.org/login)
12:23:52	578/578	---M-Z	200	added ('OK')	application/javascript	etag:%22242-5ffcb5a4d1b80-gzip%22	https://school2024.abinit.org/media/system/js/keepalive.min.js?94b7329e7ead5aa8faa224be8070af5c97f08af6	school2024.abinit.org/media/system/js/keepalive.mincee7.js	(from https://school2024.abinit.org/login)
12:23:53	8649/8649	---M-Z	200	added ('OK')	application/javascript	etag:%2221c9-5ffcb5ac72d80-gzip%22	https://school2024.abinit.org/media/system/js/fields/validate.min.js?9f26c5b7070c62ee7bfcb236e33af26c7d9ed3ce	school2024.abinit.org/media/system/js/fields/validate.min68a4.js	(from https://school2024.abinit.org/login)
12:23:54	949/949	---M-Z	200	added ('OK')	application/javascript	etag:%223b5-5ffcb5a6ba000-gzip%22	https://school2024.abinit.org/media/system/js/fields/passwordview.min.js?ca1441d9e5ea55f4676d32de4da65336	school2024.abinit.org/media/system/js/fields/passwordview.min0473.js	(from https://school2024.abinit.org/login)
12:23:55	14942/14942	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:20:23%20GMT	https://school2024.abinit.org/login?view=reset	school2024.abinit.org/login798d.html	(from https://school2024.abinit.org/login)
12:23:56	14883/14883	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:20:24%20GMT	https://school2024.abinit.org/login?view=remind	school2024.abinit.org/login4488.html	(from https://school2024.abinit.org/login)
12:23:57	19270/19270	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:20:25%20GMT	https://school2024.abinit.org/login?view=registration	school2024.abinit.org/login4437.html	(from https://school2024.abinit.org/login)
12:23:58	19486/19486	---M-Z	200	added ('OK')	text/css	etag:%224c1e-60383e2decfa0-gzip%22	https://school2024.abinit.org/components/com_breezingforms/libraries/jquery/tooltip.css	school2024.abinit.org/components/com_breezingforms/libraries/jquery/tooltip.css	(from https://school2024.abinit.org/index.php?option=com_breezingforms&Itemid=218&ff_form=13&ff_applic=mod_facileforms&ff_module_id=156&format=html&tmpl=component&ff_frame=1)
12:23:59	99877/99877	---M-Z	200	added ('OK')	application/javascript	etag:%2218625-60383e2dedf40-gzip%22	https://school2024.abinit.org/components/com_breezingforms/libraries/jquery/jq.min.js	school2024.abinit.org/components/com_breezingforms/libraries/jquery/jq.min.js	(from https://school2024.abinit.org/index.php?option=com_breezingforms&Itemid=218&ff_form=13&ff_applic=mod_facileforms&ff_module_id=156&format=html&tmpl=component&ff_frame=1)
12:24:00	39932/39932	---M-Z	200	added ('OK')	application/javascript	etag:%229bfc-60383e2dec000-gzip%22	https://school2024.abinit.org/components/com_breezingforms/libraries/jquery/tooltip.js	school2024.abinit.org/components/com_breezingforms/libraries/jquery/tooltip.js	(from https://school2024.abinit.org/index.php?option=com_breezingforms&Itemid=218&ff_form=13&ff_applic=mod_facileforms&ff_module_id=156&format=html&tmpl=component&ff_frame=1)
